Nombre,NRC,Periodo
IDIO-0014-202650-50022,50022,202650
5564-0119-202650-50024,50024,202650
6069-0001-202610-30457,30457,202610
6069-0062V-202610-30458,30458,202610
9937-0029V-202610-30456,30456,202610
5557-2008-202641-52060,52060,202641
6069-2076V-202641-51989,51989,202641
5557-0050-202641-51860,51860,202641
3313-2017-202641-52080,52080,202641
5556-2036-202641-51697,51697,202641
5556-2038-202641-51698,51698,202641
5559-2059V-202641-51673,51673,202641
3313-2131-202641-59361,59361,202641
PGME-0035-202641-52301,52301,202641
PGME-0035-202641-52305,52305,202641
PGME-0044-202641-52311,52311,202641
PGME-0036-202641-52314,52314,202641
PGME-0044-202641-52315,52315,202641
5568-0074-202641-52412,52412,202641
3313-0102-202641-52356,52356,202641
3313-0102-202641-57754,57754,202641
3313-2016-202641-52403,52403,202641
LGAP-0075-202641-52444,52444,202641
5568-0074-202641-52448,52448,202641
6069-2001V-202641-52201,52201,202641
5568-0073-202641-52208,52208,202641
8821-2013-202610-31509,31509,202610
6069-2035-202641-52159,52159,202641
6611-2020-202641-52156,52156,202641
5559-0110-202641-58046,58046,202641
6069-2157V-202641-52211,52211,202641
6069-2137-202641-52252,52252,202641
8821-0005-202641-52253,52253,202641
3313-2122-202641-51407,51407,202641
6611-2024-202641-51411,51411,202641
9936-2011-202641-51440,51440,202641
CTAM-0095-202641-51448,51448,202641
CTAM-0102-202641-51447,51447,202641
8827-2036-202641-51358,51358,202641
9937-2004-202641-51130,51130,202641
9939-2001-202641-51176,51176,202641
